"Date","Open_BTC","High_BTC","Low_BTC","Close_BTC","Close_SP500","Open_SP500","High_SP500","Low_SP500"
2017-08-07,"3212.780029","3397.679932","3180.889893","3378.939941",2480.91,2477.14,2480.95,2475.88
2017-08-08,"3370.219971","3484.850098","3345.830078","3419.939941",2474.92,2478.35,2490.87,2470.32
2017-08-09,"3420.399902","3422.760010","3247.669922","3342.469971",2474.02,2465.35,2474.41,2462.08
2017-08-10,"3341.840088","3453.449951","3319.469971","3381.280029",2438.21,2465.38,2465.38,2437.75
2017-08-11,"3373.820068","3679.719971","3372.120117","3650.620117",2441.32,2441.04,2448.09,2437.85
2017-08-14,"4066.100098","4325.129883","3989.159912","4325.129883",2465.84,2454.96,2468.22,2454.96
2017-08-15,"4326.990234","4455.970215","3906.179932","4181.930176",2464.61,2468.66,2468.9,2461.61
2017-08-16,"4200.339844","4381.229980","3994.419922","4376.629883",2468.11,2468.63,2474.93,2463.86
2017-08-17,"4384.439941","4484.700195","4243.709961","4331.689941",2430.01,2462.95,2465.02,2430.01
2017-08-18,"4324.339844","4370.129883","4015.399902","4160.620117",2425.55,2427.64,2440.27,2420.69
2017-08-21,"4090.479980","4109.140137","3988.600098","4001.739990",2428.37,2425.5,2430.58,2417.35
2017-08-22,"3998.350098","4128.759766","3674.580078","4100.520020",2452.51,2433.75,2454.77,2433.67
2017-08-23,"4089.010010","4255.779785","4078.409912","4151.520020",2444.04,2444.88,2448.91,2441.42
2017-08-24,"4137.600098","4376.390137","4130.259766","4334.680176",2438.97,2447.91,2450.39,2436.19
2017-08-25,"4332.819824","4455.700195","4307.350098","4371.600098",2443.05,2444.72,2453.96,2442.22
2017-08-28,"4384.450195","4403.930176","4224.640137","4382.660156",2444.24,2447.35,2449.12,2439.03
2017-08-29,"4389.209961","4625.680176","4352.129883","4579.020020",2446.3,2431.94,2449.19,2428.2
2017-08-30,"4570.359863","4626.520020","4471.410156","4565.299805",2457.59,2446.06,2460.31,2443.77
2017-08-31,"4555.589844","4736.049805","4549.399902","4703.390137",2471.65,2462.65,2475.01,2462.65
2017-09-01,"4701.759766","4892.009766","4678.529785","4892.009766",2476.55,2474.42,2480.38,2473.85
2017-09-05,"4228.290039","4427.839844","3998.110107","4376.529785",2457.85,2470.35,2471.97,2446.55
2017-09-06,"4376.589844","4617.250000","4376.589844","4597.120117",2465.54,2463.83,2469.64,2459.2
2017-09-07,"4589.140137","4655.040039","4491.330078","4599.879883",2465.1,2468.06,2468.62,2460.29
2017-09-08,"4605.160156","4661.000000","4075.179932","4228.750000",2461.43,2462.25,2467.11,2459.4
2017-09-11,"4122.470215","4261.669922","4099.399902","4161.270020",2488.11,2474.52,2488.95,2474.52
2017-09-12,"4168.879883","4344.649902","4085.219971","4130.810059",2496.48,2491.94,2496.77,2490.37
2017-09-13,"4131.979980","4131.979980","3789.919922","3882.590088",2498.37,2493.89,2498.37,2492.14
2017-09-14,"3875.370117","3920.600098","3153.860107","3154.949951",2495.62,2494.56,2498.43,2491.35
2017-09-15,"3166.300049","3733.449951","2946.620117","3637.520020",2500.23,2495.67,2500.23,2493.16
2017-09-18,"3591.090088","4079.229980","3591.090088","4065.199951",2503.87,2502.51,2508.32,2499.92
2017-09-19,"4073.790039","4094.070068","3868.870117","3924.969971",2506.65,2506.29,2507.84,2503.19
2017-09-20,"3916.360107","4031.389893","3857.729980","3905.949951",2508.24,2506.84,2508.85,2496.67
2017-09-21,"3901.469971","3916.419922","3613.629883","3631.040039",2500.6,2507.16,2507.16,2499
2017-09-22,"3628.020020","3758.270020","3553.530029","3630.699951",2502.22,2497.26,2503.47,2496.54
2017-09-25,"3681.580078","3950.250000","3681.580078","3926.070068",2496.66,2499.39,2502.54,2488.03
2017-09-26,"3928.409912","3969.889893","3869.899902","3892.350098",2496.84,2501.04,2503.51,2495.12
2017-09-27,"3892.939941","4210.049805","3884.820068","4200.669922",2507.04,2503.3,2511.75,2495.91
2017-09-28,"4197.129883","4279.310059","4109.700195","4174.729980",2510.06,2503.41,2510.81,2502.93
2017-09-29,"4171.620117","4214.629883","4039.290039","4163.069824",2519.36,2509.96,2519.44,2507.99
2017-10-02,"4395.810059","4470.229980","4377.459961","4409.319824",2529.12,2521.2,2529.23,2520.4
2017-10-03,"4408.459961","4432.470215","4258.890137","4317.479980",2534.58,2530.34,2535.13,2528.85
2017-10-04,"4319.370117","4352.310059","4210.419922","4229.359863",2537.74,2533.48,2540.53,2531.8
2017-10-05,"4229.879883","4362.640137","4164.049805","4328.410156",2552.07,2540.86,2552.51,2540.02
2017-10-06,"4324.459961","4413.270020","4320.529785","4370.810059",2549.33,2547.44,2549.41,2543.79
2017-10-09,"4614.520020","4878.709961","4564.250000","4772.020020",2544.73,2551.39,2551.82,2541.6
2017-10-10,"4776.209961","4922.169922","4765.100098","4781.990234",2550.64,2549.99,2555.23,2544.86
2017-10-11,"4789.250000","4873.729980","4751.629883","4826.479980",2555.24,2550.62,2555.24,2547.95
2017-10-12,"4829.580078","5446.910156","4822.000000","5446.910156",2550.93,2552.88,2555.33,2548.31
2017-10-13,"5464.160156","5840.299805","5436.850098","5647.209961",2553.17,2555.66,2557.65,2552.09
2017-10-16,"5687.569824","5776.229980","5544.209961","5725.589844",2557.64,2555.57,2559.47,2552.64
2017-10-17,"5741.580078","5800.350098","5472.720215","5605.509766",2559.36,2557.17,2559.71,2554.69
2017-10-18,"5603.819824","5603.819824","5151.439941","5590.689941",2561.26,2562.87,2564.11,2559.67
2017-10-19,"5583.740234","5744.350098","5531.060059","5708.520020",2562.1,2553.39,2562.36,2547.92
2017-10-20,"5708.109863","6060.109863","5627.229980","6011.450195",2575.21,2567.56,2575.44,2567.56
2017-10-23,"6006.000000","6075.589844","5732.470215","5930.319824",2564.98,2578.08,2578.29,2564.33
2017-10-24,"5935.520020","5935.520020","5504.180176","5526.640137",2569.13,2568.66,2572.18,2565.58
2017-10-25,"5524.600098","5754.330078","5397.879883","5750.799805",2557.15,2566.52,2567.4,2544
2017-10-26,"5747.950195","5976.799805","5721.220215","5904.830078",2560.4,2560.08,2567.07,2559.8
2017-10-27,"5899.740234","5988.390137","5728.819824","5780.899902",2581.07,2570.26,2582.98,2565.94
2017-10-30,"6114.850098","6214.990234","6040.850098","6130.529785",2572.83,2577.75,2580.03,2568.25
2017-10-31,"6132.020020","6470.430176","6103.330078","6468.399902",2575.26,2575.99,2578.29,2572.15
2017-11-01,"6440.970215","6767.310059","6377.879883","6767.310059",2579.36,2583.21,2588.4,2574.92
2017-11-02,"6777.770020","7367.330078","6758.720215","7078.500000",2579.85,2579.46,2581.11,2566.17
2017-11-03,"7087.529785","7461.290039","7002.939941","7207.759766",2587.84,2581.93,2588.42,2576.77
2017-11-06,"7403.220215","7445.770020","7007.310059","7022.759766",2591.13,2587.47,2593.38,2585.66
2017-11-07,"7023.100098","7253.319824","7023.100098","7144.379883",2590.64,2592.11,2597.02,2584.35
2017-11-08,"7141.379883","7776.419922","7114.020020","7459.689941",2594.38,2588.71,2595.47,2585.02
2017-11-09,"7446.830078","7446.830078","7101.520020","7143.580078",2584.62,2584,2586.5,2566.33
2017-11-10,"7173.729980","7312.000000","6436.870117","6618.140137",2582.3,2580.18,2583.81,2575.57
2017-11-13,"5938.250000","6811.189941","5844.290039","6559.490234",2584.84,2576.53,2587.66,2574.48
2017-11-14,"6561.479980","6764.979980","6461.750000","6635.750000",2578.87,2577.75,2579.66,2566.56
2017-11-15,"6634.759766","7342.250000","6634.759766","7315.540039",2564.62,2569.45,2572.84,2557.45
2017-11-16,"7323.240234","7967.379883","7176.580078","7871.689941",2585.64,2572.95,2590.09,2572.95
2017-11-17,"7853.569824","8004.589844","7561.089844","7708.990234",2578.85,2582.94,2583.96,2577.62
2017-11-20,"8039.069824","8336.860352","7949.359863","8200.639648",2582.14,2579.49,2584.64,2578.24
2017-11-21,"8205.740234","8348.660156","7762.709961","8071.259766",2599.03,2589.17,2601.19,2589.17
2017-11-22,"8077.950195","8302.259766","8075.470215","8253.549805",2597.08,2600.31,2600.94,2595.23
2017-11-24,"8074.020020","8374.160156","7940.930176","8253.690430",2602.42,2600.42,2604.21,2600.42
2017-11-27,"9352.719727","9818.349609","9352.719727","9818.349609",2601.42,2602.66,2606.41,2598.87
2017-11-28,"9823.429688","10125.700195","9736.299805","10058.799805",2627.04,2605.94,2627.69,2605.44
2017-11-29,"10077.400391","11517.400391","9601.030273","9888.610352",2626.07,2627.82,2634.89,2620.32
2017-11-30,"9906.790039","10801.000000","9202.049805","10233.599609",2647.58,2633.93,2657.74,2633.93
2017-12-01,"10198.599609","11046.700195","9694.650391","10975.599609",2642.22,2645.1,2650.62,2605.52
2017-12-04,"11315.400391","11657.200195","11081.799805","11657.200195",2639.44,2657.19,2665.19,2639.03
2017-12-05,"11685.700195","12032.000000","11604.599609","11916.700195",2629.57,2639.78,2648.72,2627.73
2017-12-06,"11923.400391","14369.099609","11923.400391","14291.500000",2629.27,2626.24,2634.41,2624.75
2017-12-07,"14266.099609","17899.699219","14057.299805","17899.699219",2636.98,2628.38,2640.99,2626.53
2017-12-08,"17802.900391","18353.400391","14336.900391","16569.400391",2651.5,2646.21,2651.65,2644.1
2017-12-11,"15427.400391","17513.900391","15404.799805","16936.800781",2659.99,2652.19,2660.33,2651.47
2017-12-12,"16919.800781","17781.800781","16571.599609","17415.400391",2664.11,2661.73,2669.72,2659.78
2017-12-13,"17500.000000","17653.099609","16039.700195","16408.199219",2662.85,2667.59,2671.88,2662.85
2017-12-14,"16384.599609","17085.800781","16185.900391","16564.000000",2652.01,2665.87,2668.09,2652.01
2017-12-15,"16601.300781","18154.099609","16601.300781","17706.900391",2675.81,2660.63,2679.63,2659.14
2017-12-18,"19106.400391","19371.000000","18355.900391","19114.199219",2690.16,2685.92,2694.97,2685.92
2017-12-19,"19118.300781","19177.800781","17275.400391","17776.699219",2681.47,2692.71,2694.44,2680.74
2017-12-20,"17760.300781","17934.699219","16077.700195","16624.599609",2679.25,2688.18,2691.01,2676.11
2017-12-21,"16642.400391","17567.699219","15342.700195","15802.900391",2684.57,2683.02,2692.64,2682.4
2017-12-22,"15898.000000","15943.400391","11833.000000","13831.799805",2683.34,2684.22,2685.35,2678.13
2017-12-26,"14036.599609","16461.199219","14028.900391","16099.799805",2680.5,2679.09,2682.74,2677.96
2017-12-27,"16163.500000","16930.900391","15114.299805","15838.500000",2682.62,2682.1,2685.64,2678.91
2017-12-28,"15864.099609","15888.400391","13937.299805","14606.500000",2687.54,2686.1,2687.66,2682.69
2017-12-29,"14695.799805","15279.000000","14307.000000","14656.200195",2673.61,2689.15,2692.12,2673.61
2018-01-02,"13625.000000","15444.599609","13163.599609","14982.099609",2695.81,2683.73,2695.89,2682.36
2018-01-03,"14978.200195","15572.799805","14844.500000","15201.000000",2713.06,2697.85,2714.37,2697.77
2018-01-04,"15270.700195","15739.700195","14522.200195","15599.200195",2723.99,2719.31,2729.29,2719.07
2018-01-05,"15477.200195","17705.199219","15202.799805","17429.500000",2743.15,2731.33,2743.45,2727.92
2018-01-08,"16476.199219","16537.900391","14208.200195","15170.099609",2747.71,2742.67,2748.51,2737.6
2018-01-09,"15123.700195","15497.500000","14424.000000","14595.400391",2751.29,2751.15,2759.14,2747.86
2018-01-10,"14588.500000","14973.299805","13691.200195","14973.299805",2748.23,2745.55,2750.8,2736.06
2018-01-11,"14968.200195","15018.799805","13105.900391","13405.799805",2767.56,2752.97,2767.56,2752.78
2018-01-12,"13453.900391","14229.900391","13158.099609","13980.599609",2786.24,2770.18,2787.85,2769.64
2018-01-16,"13836.099609","13843.099609","10194.900391","11490.500000",2776.42,2798.96,2807.54,2768.64
2018-01-17,"11431.099609","11678.000000","9402.290039","11188.599609",2802.56,2784.99,2807.04,2778.38
2018-01-18,"11198.799805","12107.299805","10942.500000","11474.900391",2798.03,2802.4,2805.83,2792.56
2018-01-19,"11429.799805","11992.799805","11172.099609","11607.400391",2810.3,2802.6,2810.33,2798.08
2018-01-22,"11633.099609","11966.400391","10240.200195","10931.400391",2832.97,2809.16,2833.03,2808.12
2018-01-23,"10944.500000","11377.599609","10129.700195","10868.400391",2839.13,2835.05,2842.24,2830.59
2018-01-24,"10903.400391","11501.400391","10639.799805","11359.400391",2837.54,2845.42,2852.97,2824.81
2018-01-25,"11421.700195","11785.700195","11057.400391","11259.400391",2839.25,2846.24,2848.56,2830.94
2018-01-26,"11256.000000","11656.700195","10470.299805","11171.400391",2872.87,2847.48,2872.87,2846.18
2018-01-29,"11755.500000","11875.599609","11179.200195","11296.400391",2853.53,2867.23,2870.62,2851.48
2018-01-30,"11306.799805","11307.200195","10036.200195","10106.299805",2822.43,2832.74,2837.75,2818.27
